Melhora Significativa
SE: 1.86073059361% | total: 163 * TENHO QUE CRIAR UM SE PARA ESSE AMBIENTE
Random_123: 7.45433789954% | total: 653
Random_124: 7.48858447489% | total: 656
Random_125: 7.92237442922% | total: 694
Random_126: 7.72831050228% | total: 677
Random_127: 7.93378995434% | total: 695
Random_128: 7.85388127854% | total: 688
Random_129: 7.76255707763% | total: 680
Random_130: 7.86529680365% | total: 689
Random_131: 7.78538812785% | total: 682
Random_132: 7.70547945205% | total: 675
Random_133: 7.69406392694% | total: 674
Random_134: 7.68264840183% | total: 673
Random_135: 7.85388127854% | total: 688
Random_136: 7.43150684932% | total: 651
Random_137: 7.36301369863% | total: 645
Random_138: 7.40867579909% | total: 649
Random_139: 7.92237442922% | total: 694
Random_140: 7.67123287671% | total: 672
Random_141: 7.29452054795% | total: 639
Random_142: 7.75114155251% | total: 679
Random_143: 7.47716894977% | total: 655
Random_144: 7.51141552511% | total: 658
Random_145: 7.71689497717% | total: 676
Random_146: 7.52283105023% | total: 659
Random_147: 7.46575342466% | total: 654
Random_148: 7.48858447489% | total: 656
Random_149: 7.54566210046% | total: 661
Random_150: 7.19178082192% | total: 630
